,product_id,noun_lemmatized,count,mean_polarity_nltk,mean_polarity_textblob,review_id,group,tb_importance
62,Air France,polorugby,11,0.0,0.0,"[1264648249459322881 1264647661207949313 1264644290833264642
 1264642263243726848 1264621289060405248 1264619668511379456]",luggage,0.0
63,Air France,route,1,0.0,0.0,[1264630201188790274],punctuality,0.0
64,Air France,ryanair,1,0.0,0.0,[1264590689892995072],food,0.0
65,Air France,s,1,0.0,0.2,[1264823452281843718],punctuality,0.2
66,Air France,session,1,0.0,0.13636363636363635,[1264799711355113473],luggage,0.13636363636363635
67,Air France,shirt,6,0.0,0.0,[1264649857085640716 1264641511171514377 1264620369006166018],punctuality,0.0
68,Air France,simulator,1,0.0,0.0,[1264670070103592961],luggage,0.0
69,Air France,sir,1,0.3818,0.0,[1264605786379976706],luggage,0.0
70,Air France,speed,2,0.0,0.16,[1264677022887890944 1264546155821780996],luggage,0.32
71,Air France,star,1,0.0,0.0,[1264738552757325825],punctuality,0.0
72,Air France,statistician,1,0.0,0.375,[1264614663720972292],luggage,0.375
73,Air France,string,2,0.1292,0.024999999999999994,[1264603475444449282],punctuality,0.04999999999999999
74,Air France,they,1,0.0,0.0,[1264849354453667840],punctuality,0.0
75,Air France,this,1,0.0,0.0,[1264774018139217921],punctuality,0.0
76,Air France,traffic,48,0.0,0.0,"[1264862065488846849 1264819767120211974 1264800457907679232
 1264785281212768257 1264784274160594945 1264783761775792129
 1264745733468676098 1264666383754772480 1264607885411135490
 1264601565219807233 1264599060100546569 1264598423325618181
 1264598305473998849 1264597738194436101 1264596549834858498
 1264594299322339328 1264593639751053313 1264593279049273344
 1264593269729759234 1264592514763223040 1264588018968559616
 1264587224173117441 1264586962565881858 1264581833175506949
 1264578093869674496 1264575110230523908 1264568656366796800
 1264566510267314176 1264565197483601920 1264562630838161409
 1264562555990577152 1264561558954348544 1264560158736334849
 1264559445591363585 1264558154135658503 1264556771504504832
 1264555769686396928 1264554694422040577 1264553568469729280
 1264551996499079169 1264550987953364992 1264550986976071680
 1264550984534986752 1264549598573412353 1264548877123887104
 1264548116021350400 1264547896034197505 1264545062433837062]",punctuality,0.0
77,Air France,use,1,0.4404,0.5,[1264578093869674496],punctuality,0.5
78,Air France,vouch,1,0.0,0.0,[1264849354453667840],luggage,0.0
79,Air France,way,3,0.2601333333333333,0.3,[1264824809353084929 1264578093869674496 1264564323579559940],punctuality,0.8999999999999999
80,Lufthansa,12th march,1,0.0,0.0,[1264818296232312833],luggage,0.0
81,Lufthansa,40000 ft heading southwes,1,0.0,0.0,[1264806798952931330],punctuality,0.0
82,Lufthansa,4th july,1,0.0,0.0,[1264859947709468672],punctuality,0.0
83,Lufthansa,656,2,0.0,0.0,[1264824610920574976 1264712064901226502],luggage,0.0
84,Lufthansa,a,1,0.0,0.0,[1264821091756683264],punctuality,0.0
85,Lufthansa,airline,6,0.0,0.075,"[1264839801770999810 1264774450383372288 1264728649691004928
 1264723187268452353 1264715339927105545]",punctuality,0.44999999999999996
86,Lufthansa,airport,1,0.0,0.0,[1264843215120863234],punctuality,0.0
87,Lufthansa,allan,1,0.4588,0.8,[1264841413994446848],punctuality,0.8
88,Lufthansa,bag,2,0.0,0.0,[1264853481401221121],punctuality,0.0
89,Lufthansa,bailout,1,0.0,0.0,[1264820244553531392],punctuality,0.0
90,Lufthansa,banker,1,0.0,0.0,[1264728534632681472],punctuality,0.0
91,Lufthansa,behavior,1,-0.5267,-0.4,[1264844805076484097],luggage,-0.4
92,Lufthansa,business,1,0.0,0.0,[1264843333261819904],punctuality,0.0
93,Lufthansa,co,1,0.0,0.0,[1264820244553531392],punctuality,0.0
94,Lufthansa,complaint,1,0.0,0.0,[1264843470537097221],punctuality,0.0
95,Lufthansa,connection,1,0.2584,0.25,[1264787112710332420],luggage,0.25
96,Lufthansa,date,1,0.0,0.4,[1264787112710332420],luggage,0.4
97,Lufthansa,dax,1,0.34,0.375,[1264861422296666115],food,0.375
98,Lufthansa,deal,2,0.0,0.2,[1264855296029138945 1264854865328685056],punctuality,0.4
99,Lufthansa,economy,8,0.0,0.0,"[1264824610920574976 1264722620827795456 1264720681008275457
 1264715922465533953 1264712064901226502]",luggage,0.0
100,Lufthansa,email,1,0.0,-0.07142857142857142,[1264810823115030529],punctuality,-0.07142857142857142
101,Lufthansa,entity,1,-0.5574,0.0,[1264817460458512384],luggage,0.0
102,Lufthansa,environment,1,0.0,0.0,[1264841708489113605],luggage,0.0
103,Lufthansa,fare,1,0.0,0.4,[1264841236545974272],punctuality,0.4
