,product_id,review_id,noun,adj,rule,polarity_nltk,polarity_textblob
99,Air France,1263930949458259968,tassels,easy,3,0.4404,0.43333333333333335
100,Air France,1263925133317734403,case,best,1,0.6369,1.0
101,Air France,1263925133317734403,t,escaping,1,0.0516,0.0
102,Air France,1263925133317734403,scenario,sound,7,0.0,0.4
103,Air France,1263923356577005568,ons,bru,7,0.0,0.0
104,Air France,1263917784414724097,performances,individual,1,0.0,0.0
105,Air France,1263917784414724097,it,overall,4,0.0,0.0
106,Air France,1263917784414724097,it,air,7,0.0,0.0
107,Air France,1263917784414724097,it,fran,7,0.0,0.0
108,Air France,1263916665185632258,aircraft,targets,7,0.0,0.0
109,Air France,1263914658462924802,agreements,international,1,0.0,0.0
110,Air France,1263914658462924802,risk,low,1,-0.2732,0.0
111,Air France,1263907482965020672,carrier,french,1,0.0,0.0
112,Air France,1263907319865376769,aviation,military,1,0.0,-0.1
113,Air France,1263907319865376769,it,easy,3,0.4404,0.43333333333333335
114,Air France,1263902935689441282,numbers,essential,1,0.0,0.0
115,Air France,1263902160577691649,retirement,immediate,1,0.0,0.0
116,Air France,1263901008909959174,flush,busted,1,0.0,0.0
117,Air France,1263901008909959174,eu,flush,7,0.0,0.0
118,Air France,1263899789957062656,air france,airline,7,0.0,0.0
119,Air France,1263896476427698176,fact,simple,1,0.0,0.0
120,Air France,1263896476427698176,they,better,3,0.4404,0.5
121,Air France,1263896476427698176,they,actually,4,0.0,0.0
122,Air France,1263896476427698176,it,not bullshit,7,0.4717,0.0
123,Air France,1263896476427698176,it,fact,7,0.0,0.0
124,Air France,1263896278741725185,air,fresh,1,0.3182,0.3
125,Air France,1263896278741725185,words,simple,1,0.0,0.0
126,Air France,1263895475712901120,report,final,1,0.0,0.0
127,Air France,1263894107828686856,haul,short,1,0.0,0.0
128,Air France,1263894107828686856,businessclass,not worth,3,-0.1695,-0.15
129,Air France,1263891374002274305,minister,french,1,0.0,0.0
130,Air France,1263886540083691522,case,special,1,0.4019,0.35714285714285715
131,Air France,1263886540083691522,france,originally,4,0.0,0.375
132,Air France,1263886540083691522,rafale,case,7,0.0,0.0
133,Air France,1263886540083691522,france,member,7,0.0,0.0
134,Air France,1263880826946752512,it,realistic,3,0.0,0.16666666666666666
135,Air France,1263880298279981056,s,philatelovely happy,1,0.5719,0.8
136,Air France,1263880298279981056,it,sevilla,7,0.0,0.0
137,Air France,1263878692125790210,fleet,entire,1,0.0,0.0
138,Air France,1263878692125790210,fleet,entire,1,0.0,0.0
139,Air France,1263870340213673989,future,near,1,0.0,0.1
140,Air France,1263870340213673989,it,maybe,4,0.0,0.0
141,Air France,1263870165038575619,exemptions,limited,1,-0.2263,-0.07142857142857142
142,Air France,1263869706936684545,print,toucan,1,0.0,0.0
143,Air France,1263869706936684545,print,heavyweight,1,0.0,0.0
144,Air France,1263868905178705921,personnel,military,1,0.0,-0.1
145,Air France,1263868465674219521,flight,special,1,0.4019,0.35714285714285715
146,Air France,1263865004652064768,fleet,entire,1,0.0,0.0
147,Air France,1263865004652064768,effect,immediate,1,0.0,0.0
148,Air France,1263864828663382017,recipients,minimum,1,0.0,0.0
149,Air France,1263864828663382017,bailout,corporate,1,0.0,0.0
150,Air France,1263864828663382017,plan,solid,1,0.1531,0.0
151,Air France,1263855729326395392,service,commercial,1,0.0,0.0
152,Air France,1263855729326395392,it,service,7,0.0,0.0
153,Air France,1263855345136332801,minister,indian,1,0.0,0.0
154,Air France,1263855345136332801,lemons,blessed,1,0.5994,0.0
155,Air France,1263854137948733446,they,able,3,0.0,0.5
156,Air France,1263853154355077121,man,rich,1,0.5574,0.375
157,Air France,1263852168597114881,government,gold,7,0.0,0.0
158,Air France,1263839707428868098,quarantine,british,1,0.0,0.0
159,Air France,1263839672473542657,airbus,ago,4,0.0,0.0
160,Air France,1263838838679429123,airlines,private,1,0.0,0.0
161,Air France,1263838618461917184,fleet,entire,1,0.0,0.0
162,Air France,1263838618461917184,air france,immediately,4,0.0,0.0
163,Air France,1263835653147590657,adidas tango europa 1988,original,1,0.3182,0.375
164,Air France,1263835653147590657,made,original,1,0.3182,0.375
165,Air France,1263835260556652547,flight,special,1,0.4019,0.35714285714285715
166,Air France,1263835145691377665,occasions,numerous,1,0.0,0.0
167,Air France,1263835008961314816,flight,special,1,0.4019,0.35714285714285715
168,Air France,1263831973111291905,tragedies,deadliest,1,0.0,0.0
169,Air France,1263831973111291905,recent years,recent,1,0.0,0.0
170,Air France,1263830998778875904,ap,delayed,1,-0.2263,0.0
171,Air France,1263830998778875904,crash,later,4,0.0,0.0
172,Air France,1263828842679959552,level,low,1,-0.2732,0.0
173,Air France,1263828842679959552,it,discussed,3,0.0,0.0
174,Air France,1263828835398823937,flight,special,1,0.4019,0.35714285714285715
175,Air France,1263827352066371585,retirement,immediate,1,0.0,0.0
176,Air France,1263825323948486657,men,sexi,1,0.0,0.0
177,Air France,1263822832716349440,plane,old,3,0.0,0.1
178,Air France,1263822741658112000,flight,special,1,0.4019,0.35714285714285715
179,Air France,1263822741658112000,informatio,updated,1,0.0,0.0
180,Air France,1263821014947028994,migrants,illegal,1,-0.5574,-0.5
181,Air France,1263821014947028994,migrants,economic,1,0.0,0.2
182,Air France,1263820940183506944,it,permanently,4,0.0,0.0
183,Air France,1263817609780375553,flights,cancelled,1,-0.25,0.0
184,Air France,1263817609780375553,air france,willfully,4,0.0,0.0
185,Air France,1263816264742572033,wingfriday,landing,1,0.0,0.0
186,Air France,1263814744311508993,flight,special,1,0.4019,0.35714285714285715
187,Air France,1263811419771940865,phasing,very sensible,1,0.0,0.2
188,Air France,1263811419771940865,air france,permanently,4,0.0,0.0
189,Air France,1263810999766921217,ba,definitely,4,0.4019,0.0
190,Air France,1263808763074617350,destinations,beautiful,1,0.5994,0.85
