,product_id,group,weighted_ave_nltk,weighted_ave_tb
0,Air France,company,0.0,0.0
1,Air France,food,0.1296375,0.12244543650793653
2,Air France,luggage,-0.017839583333333336,0.012748015873015875
3,Air France,punctuality,0.03663833333333333,0.06513528138528138
4,Air France,staff,0.0,0.0
5,Lufthansa,company,0.08875555555555555,0.1537037037037037
6,Lufthansa,food,0.0,0.016666666666666666
7,Lufthansa,luggage,0.00162280701754386,0.020802005012531325
8,Lufthansa,punctuality,0.07313295454545456,0.10089888331365605
9,Lufthansa,staff,-0.0516,-0.07142857142857142
